epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1844,0.80046,3.53558,0.95608,0.00333,1,0.97833,0.83242,0.50036,3.27683,0.86869,6e-05,6e-05,6e-05
2,83.582,0.48699,2.69613,0.84111,0.00333,1,0.995,0.90506,0.36711,3.08117,0.83343,0.000137228,0.000137228,0.000137228
3,121.285,0.55045,2.19818,0.83248,0.93581,1,0.995,0.83954,0.54168,2.81697,0.83998,0.000211288,0.000211288,0.000211288
4,158.628,0.56028,2.53107,0.86601,0.00333,1,0.995,0.88809,0.44929,2.98381,0.82201,0.00028218,0.00028218,0.00028218
5,194.94,0.60156,1.46393,0.80992,0.00333,1,0.995,0.89856,0.42182,3.07696,0.81737,0.000349904,0.000349904,0.000349904
6,232.009,0.47036,1.35106,0.83432,0.00333,1,0.995,0.9272,0.49338,3.07688,0.82706,0.00041446,0.00041446,0.00041446
7,269.745,0.46058,1.30064,0.81722,0.00333,1,0.995,0.91972,0.4009,3.03199,0.82973,0.000475848,0.000475848,0.000475848
8,308.157,0.44455,1.25395,0.78511,0.96773,1,0.995,0.91804,0.3909,3.0764,0.82774,0.000534068,0.000534068,0.000534068
9,345.486,0.4031,1.21269,0.81233,1,0.75322,0.995,0.89657,0.45693,3.18586,0.83325,0.00058912,0.00058912,0.00058912
10,381.986,0.41451,0.98585,0.84647,0.96731,1,0.995,0.86871,0.55578,2.90312,0.84147,0.000641004,0.000641004,0.000641004
11,417.99,0.43604,1.17417,0.87735,0.965,1,0.995,0.867,0.53777,2.9149,0.82797,0.00068972,0.00068972,0.00068972
12,454.069,0.43152,1.08852,0.80849,1,0.90065,0.995,0.85578,0.52847,3.02166,0.84296,0.000735268,0.000735268,0.000735268
13,490.812,0.41083,1.10077,0.8581,1,0.85256,0.995,0.88604,0.50456,2.80203,0.82261,0.000777648,0.000777648,0.000777648
14,527.031,0.49866,1.12724,0.82603,1,0.88553,0.995,0.86258,0.52498,2.71942,0.8431,0.00081686,0.00081686,0.00081686
15,562.974,0.438,1.11297,0.80809,1,0.785,0.995,0.85887,0.55425,2.82761,0.86408,0.000852904,0.000852904,0.000852904
16,598.813,0.39778,1.04493,0.84876,1,0.67968,0.995,0.86004,0.55473,2.90373,0.87872,0.00088578,0.00088578,0.00088578
17,627.489,0.42604,1.29082,0.81901,0.99261,1,0.995,0.88391,0.45487,2.66847,0.84968,0.000915488,0.000915488,0.000915488
18,642.712,0.3775,0.88501,0.83498,0.96792,1,0.995,0.85204,0.50499,2.39328,0.85738,0.000942028,0.000942028,0.000942028
19,665.995,0.44839,0.8548,0.81588,0.95412,1,0.995,0.84528,0.51768,2.3177,0.85437,0.0009654,0.0009654,0.0009654
20,680.755,0.40199,0.89418,0.88156,0.98764,1,0.995,0.91362,0.44574,2.24205,0.88009,0.000985604,0.000985604,0.000985604
21,696.652,0.36572,0.87866,0.8609,0.99064,1,0.995,0.89372,0.41554,1.7023,0.86761,0.00100264,0.00100264,0.00100264
22,716.944,0.34634,0.81692,0.80115,0.98453,1,0.995,0.87338,0.45724,1.7422,0.87459,0.00101651,0.00101651,0.00101651
23,775.375,0.33905,0.83463,0.87987,0.98875,1,0.995,0.90039,0.40453,1.70148,0.84643,0.00102721,0.00102721,0.00102721
24,828.607,0.41321,0.81681,0.8141,0.99384,1,0.995,0.8955,0.43514,1.53882,0.88574,0.00103474,0.00103474,0.00103474
25,883.622,0.32529,0.84271,0.84115,0.99487,1,0.995,0.91837,0.33003,1.32679,0.83853,0.0010391,0.0010391,0.0010391
26,945.142,0.31869,0.85013,0.82696,0.99508,1,0.995,0.98502,0.28582,1.12478,0.84925,0.00101,0.00101,0.00101
27,1007.16,0.32891,0.80186,0.84839,0.99477,1,0.995,0.97058,0.33665,1.06146,0.92119,0.0009704,0.0009704,0.0009704
28,1066.52,0.3682,0.77797,0.83483,0.99465,1,0.995,0.995,0.29001,1.06672,0.88235,0.0009308,0.0009308,0.0009308
29,1122.44,0.32113,0.83289,0.85236,0.99449,1,0.995,0.995,0.24554,1.13938,0.83101,0.0008912,0.0008912,0.0008912
30,1160.82,0.27232,0.74141,0.84338,0.99439,1,0.995,0.97607,0.29491,1.08727,0.83075,0.0008516,0.0008516,0.0008516
31,1176.16,0.31155,0.73855,0.8383,0.9945,1,0.995,0.96619,0.30102,1.00402,0.83662,0.000812,0.000812,0.000812
32,1191.07,0.35912,0.76653,0.8125,0.99478,1,0.995,0.97607,0.27651,0.93391,0.83738,0.0007724,0.0007724,0.0007724
33,1220.51,0.28825,0.82093,0.86531,0.99496,1,0.995,0.98402,0.21625,0.90001,0.82609,0.0007328,0.0007328,0.0007328
34,1275.62,0.32994,0.97637,0.8512,0.99502,1,0.995,0.96928,0.28854,0.94007,0.85378,0.0006932,0.0006932,0.0006932
35,1330.97,0.28327,0.68532,0.82389,0.99509,1,0.995,0.96004,0.28549,0.8858,0.86528,0.0006536,0.0006536,0.0006536
36,1387.99,0.28336,0.60255,0.76708,0.9952,1,0.995,0.995,0.22714,0.82836,0.83659,0.000614,0.000614,0.000614
37,1442.15,0.25774,0.62026,0.80872,0.99516,1,0.995,0.995,0.19596,0.82347,0.82257,0.0005744,0.0005744,0.0005744
38,1499.2,0.32146,0.68152,0.84175,0.9951,1,0.995,0.995,0.21926,0.79152,0.82772,0.0005348,0.0005348,0.0005348
39,1555.4,0.2732,0.64574,0.82328,0.99521,1,0.995,0.995,0.23199,0.78319,0.83732,0.0004952,0.0004952,0.0004952
40,1614.13,0.26894,0.63598,0.84375,0.99522,1,0.995,0.995,0.19436,0.77882,0.83005,0.0004556,0.0004556,0.0004556
41,1677.86,0.20171,0.76028,0.83235,0.99525,1,0.995,0.995,0.15119,0.71943,0.82289,0.000416,0.000416,0.000416
42,1733.79,0.20511,0.75208,0.79967,0.99526,1,0.995,0.995,0.15342,0.72304,0.8196,0.0003764,0.0003764,0.0003764
43,1790.34,0.18905,0.71828,0.84667,0.99531,1,0.995,0.995,0.16096,0.7386,0.81895,0.0003368,0.0003368,0.0003368
44,1846.36,0.1886,0.73259,0.76174,0.99523,1,0.995,0.995,0.17882,0.72801,0.81862,0.0002972,0.0002972,0.0002972
45,1905.8,0.27664,0.73862,0.76834,0.99522,1,0.995,0.995,0.19989,0.732,0.82358,0.0002576,0.0002576,0.0002576
46,1961.61,0.19505,0.71867,0.82417,0.99528,1,0.995,0.995,0.18828,0.73533,0.82091,0.000218,0.000218,0.000218
47,2017.39,0.18936,0.73521,0.78589,0.99526,1,0.995,0.995,0.16206,0.71408,0.81753,0.0001784,0.0001784,0.0001784
48,2073.37,0.18311,0.70033,0.81498,0.99528,1,0.995,0.995,0.13566,0.68829,0.81498,0.0001388,0.0001388,0.0001388
49,2129.89,0.16125,0.66703,0.83391,0.99533,1,0.995,0.995,0.1228,0.65621,0.81353,9.92e-05,9.92e-05,9.92e-05
50,2185.16,0.15894,0.65194,0.7923,0.99531,1,0.995,0.995,0.11707,0.64551,0.81335,5.96e-05,5.96e-05,5.96e-05
